price_range,freq
201 to 2200,142900
2201 to 4200,166501
4201 to 6200,15982
6201 to 8200,9045
8201 to 10200,4643
10201 to 12200,3140
12201 to 14200,2357
14201 to 16200,1646
16201 to 18200,1255
18201 to 20200,1149
20201 to 22200,782
22201 to 24200,629
24201 to 26200,546
26201 to 28200,434
28201 to 30200,406
30201 to 32200,378
32201 to 34200,282
34201 to 36200,261
36201 to 38200,222
38201 to 40200,227
40201 to 42200,201
42201 to 44200,189
44201 to 46200,160
46201 to 48200,157
48201 to 50200,117
50201 to 52200,124
52201 to 54200,127
54201 to 56200,119
56201 to 58200,95
58201 to 60200,90
60201 to 62200,85
62201 to 64200,86
64201 to 66200,80
66201 to 68200,67
68201 to 70200,58
70201 to 72200,65
72201 to 74200,50
74201 to 76200,55
76201 to 78200,57
78201 to 80200,49
80201 to 82200,45
82201 to 84200,52
84201 to 86200,31
86201 to 88200,36
88201 to 90200,36
90201 to 92200,35
92201 to 94200,28
94201 to 96200,31
96201 to 98200,39
98201 to 100200,31
100201 to 102200,32
102201 to 104200,27
104201 to 106200,39
106201 to 108200,24
108201 to 110200,23
110201 to 112200,24
112201 to 114200,15
114201 to 116200,23
116201 to 118200,20
118201 to 120200,17
120201 to 122200,20
122201 to 124200,17
124201 to 126200,15
126201 to 128200,18
128201 to 130200,16
130201 to 132200,15
132201 to 134200,14
134201 to 136200,9
136201 to 138200,17
138201 to 140200,10
140201 to 142200,16
142201 to 144200,13
144201 to 146200,17
146201 to 148200,8
148201 to 150200,11
150201 to 152200,7
152201 to 154200,13
154201 to 156200,13
156201 to 158200,9
158201 to 160200,8
160201 to 162200,7
162201 to 164200,10
164201 to 166200,11
166201 to 168200,9
168201 to 170200,6
170201 to 172200,7
172201 to 174200,4
174201 to 176200,2
176201 to 178200,11
178201 to 180200,4
180201 to 182200,8
182201 to 184200,1
184201 to 186200,9
186201 to 188200,5
188201 to 190200,2
190201 to 192200,5
192201 to 194200,5
194201 to 196200,3
196201 to 198200,5
198201 to 200200,4
200201 to 202200,9
202201 to 204200,3
204201 to 206200,7
206201 to 208200,3
208201 to 210200,3
210201 to 212200,4
212201 to 214200,2
214201 to 216200,2
216201 to 218200,4
218201 to 220200,7
220201 to 222200,3
222201 to 224200,3
224201 to 226200,5
226201 to 228200,1
228201 to 230200,4
230201 to 232200,3
232201 to 234200,6
234201 to 236200,4
236201 to 238200,4
238201 to 240200,2
240201 to 242200,2
242201 to 244200,0
244201 to 246200,2
246201 to 248200,3
248201 to 250200,6
250201 to 252200,3
252201 to 254200,2
254201 to 256200,0
256201 to 258200,2
